iter	Passed	Remaining
0	48	1395
1	94	1320
2	135	1222
3	178	1159
4	218	1090
5	263	1054
6	306	1006
7	356	980
8	403	940
9	448	897
10	497	860
11	542	813
12	584	764
13	623	712
14	664	664
15	708	620
16	754	576
17	800	533
18	845	489
19	885	442
20	927	397
21	969	352
22	1012	308
23	1052	263
24	1094	218
25	1136	174
26	1176	130
27	1217	86
28	1260	43
29	1304	0
